ID Paper;Title
23996;Modeling as Scientific Reasoning The Role of Abductive Reasoning for Modeling Competence
23999;Ontological approach in the practice of the educational activity: paths formation of individual professional development of students
24002;A general model for competency repositories and its instantiation to the information systems domain
24003;Competence management in knowledge intensive organizations using consensual knowledge and ontologies
24005;ELO-Tool: Taking Action in the Challenge of Assembling Learning Objects
24007;Development of Ontology Based Competence Management Model for Non-Formal Education Services
24008;Ontology of Bio-Medical Educational Objectives (OBEO): ein Vorschlag für eine Ontologie medizinischer Lernziele / A proposal for an Ontology of Bio-Medical Educational Objectives (OBEO)
24013;SYSTEMS OF COMPUTER ONTOLOGIES AS A MEANS TO FORM FUTURE ENGINEERING TEACHERS DESIGN COMPETENCES
24014;Model Based on Neutrosophic Ontologies for the Study of Entrepreneurship Competence
24017;Semi-automatic creation and exploitation of competence ontologies for trend aware profiling, matching and planning
24018;Exploring Automated Classification Approaches to Advance the Assessment of Collaborative Problem Solving Skills
24029;Using Ontologies for the E-learning System in Healthcare Human Resources Management
24034;Towards a Semantic Framework for Lifelong Integrated Competency Management and Development
24040;Engineering of educational programs through the application of intelligent technologies
24046;Concept frame for curricular innovation in health care schools
24047;Computing with competencies: Modelling organizational capacities
24048;Uniform Assessment Of The Company's Employee's Competence Using Natural Language Processing Methods For Their Further Use In Corporate Knowledge Management Systems
24049;Competences and knowledge: Key-factors in the smart city of the future
24054;Competence as a Key Concept of Educational Theory: A Semiotic Point of View
24057;Pedagogy of communion as promising educational approach for the achievement of global competencies
24062;Modeling competencies for supporting work-integrated learning in knowledge work
24064;Competencies management and learning organizational memory
24067;Business semantics management: A case study for competency-centric HRM
24068;Evaluation of Digital Competence Profiles Using Dialetheic Logic
24074;A proposal for an adaptive Recommender System based on competences and ontologies
24078;Methodology of developing an ontological model for the formation of content and assessment of ICT competencies of university students
24084;The opportunities of cloud computing for managing competences and learning paths in pharmacy
24087;Designing a work program for the discipline based on the elements of competencies
24094;A semantic web architecture for integrating competence management and learning paths
24097;Internet Projecting as Means of Implementing the Federal State Educational Standards in Pedagogical University
24100;Modelagem de uma Ontologia de Dom�nio com Foco em Compet�ncias para Sistemas de Recomenda��o na Educa��o
24106;ASSESSMENT OF STUDENTS’ PROFESSIONAL COMPETENCE: INTERDISCIPLINARY ASPECTS (IN THE CASE OF BACHELOR PROGRAM «BUSINESS-INFORMATICS»)
24111;KNOWLEDGE TRANSFER AS ONE OF THE FACTORS OF INCREASING UNIVERSITY COMPETITIVENESS
24126;An Ontological Approach to Test Student's Competences in Meta-Subject Concepts
24139;Ontological simulation for educational process organisation in a higher educational institution
24148;Learning Content Recommendation Service Based-on Simple Sequencing Specification
24152;Integrated mathematical model of competence-based learning-teaching process
24156;Components of the competencies involved in new degrees at some Spanish universities
24164;A formal approach to organization of educational objectives
24169;Intelligent technology for construction of tutoring integrated expert systems: new aspects
24178;THE PRINCIPLES AND METHODS OF INFORMATION AND EDUCATIONAL SPACE SEMANTIC STRUCTURING BASED ON ONTOLOGIC APPROACH REALIZATION
24181;Determination of Professional Competencies Using an Alignment Algorithm of Academic Profiles and Job Advertisements, Based on Competence Thesauri and Similarity Measures
24182;TRANSPARENCY OF EUROPEAN AND NATIONAL FRAMEWORK OF QUALIFICATIONS ON THE BASIS OF COMPUTER ONTOLOGY
24184;DeCom: A model for context-aware competence management
24193;Technology of Effective Polytechnical Training at the Basis of Creation of Ontologies
24198;THE CONTENT AND STRUCTURE OF PROJECTING COMPETENCES OF FUTURE ENGINEERING TEACHERS IN THE SPHERE OF COMPUTER TECHNOLOGIES IN USING COMPUTER ONTOLOGY SYSTEMS
24203;Svårigheter i att definiera begreppet kompetens
24206;USING OF METHODS OF ONTOLOGICAL MODELING FOR FORMING OF EDUCATIONAL STANDARDS
24213;Substantiation of the necessity to develop a competency model of training specialist in pharmacy on the basis of intellectual educational system
